Reg;Type;Airline;Time;Date;Flight;From;Found;Source
G-BNWD;B763;BA;19:56;2007.01.01;BA0187;LHR-EWR;Watford;ACARS LOG 0000 20070101 to 2359 20070101
G-DOCG;B734;BA;19:56;2007.01.01;BA8045;LGW-JER;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N622SV;I1126;---;19:56;2007.01.01;XA0000;;Laurel, MD USA;ACARS LOG 0000 20070101 to 2359 20070101
N498AA;MD82;AA;19:56;2007.01.01;AA2340;DFW-ORD;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N841UA;A319;UA;19:56;2007.01.01;UA0280;SFO-IAD;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
SP-LDG;E170;LO;19:56;2007.01.01;LO0268;AMS-WAW;EDDH/HAM;ACARS LOG 0000 20070101 to 2359 20070101
TS-IOR;B736;TU;19:56;2007.01.01;TU0319;LIS-TUN;Near LPFR Portugal;ACARS LOG 0000 20070101 to 2359 20070101
D-ABDE;A320;AB;19:56;2007.01.01;AB8594;NUE-STN;near MST, NL, more info and reports, see www.ensinck.nl/acars;ACARS LOG 0000 20070101 to 2359 20070101
VT-ESO;B744;AI;19:56;2007.01.01;S1I111;;Watford;ACARS LOG 0000 20070101 to 2359 20070101
EI-CSC;B738;FR;19:57;2007.01.01;FR2003;EGSS-EDNY;Watford;ACARS LOG 0000 20070101 to 2359 20070101
N14902;E145;BTA;19:57;2007.01.01;XE2096;ORF-CLE;Laurel, MD USA;ACARS LOG 0000 20070101 to 2359 20070101
N728AE;E135;MQ;19:57;2007.01.01;MQ4842;;Toronto, Canada;ACARS LOG 0000 20070101 to 2359 20070101
N930FR;A319;FFT;19:57;2007.01.01;F90727;DCA-DEN;Alexandria, U.S.A.;ACARS LOG 0000 20070101 to 2359 20070101
N856NW;A330;NW;19:57;2007.01.01;NW0000;;test, seattle, wa;ACARS LOG 0000 20070101 to 2359 20070101
D-AHFX;B738;HF;19:57;2007.01.01;HF0175;STR-PMI;Leusden, Netherlands;ACARS LOG 0000 20070101 to 2359 20070101
G-FCLK;B752;MT;19:57;2007.01.01;MT433L;;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
N3769L;B738;DL;19:57;2007.01.01;DL0612;TXKF-BOS;S. New England - USA;ACARS LOG 0000 20070101 to 2359 20070101
N259AA;MD82;AA;19:57;2007.01.01;AA0314;SJU-MIA-JFK;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
F-GUGA;A318;AF;19:57;2007.01.01;AF1047;WAW-CDG;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N829MD;E170;RPA;19:57;2007.01.01;RW3432;ATL-DCA-PWM;Baltimore, MD, USA;ACARS LOG 0000 20070101 to 2359 20070101
N7RX;GLF4;---;19:57;2007.01.01;GS0000;;Baltimore, MD, USA;ACARS LOG 0000 20070101 to 2359 20070101
N316US;A320;NW;19:57;2007.01.01;NW0891;PBI-DTW-ORD;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N937AN;B738;AA;19:57;2007.01.01;AA1370;MIA-DCA;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N531US;B752;NW;19:57;2007.01.01;NW0211;BOS-DTW-SEA;test, seattle, wa;ACARS LOG 0000 20070101 to 2359 20070101
LN-TUJ;B737;SK;19:57;2007.01.01;SK4698;GCLP-ENGM;Portsmouth, UK;ACARS LOG 0000 20070101 to 2359 20070101
EI-CSA;B738;FR;19:57;2007.01.01;FR7123;GCXO-EIDW;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
G-OXLC;B738;JN;19:57;2007.01.01;JN6003;LPMA-EGKK;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
N420UA;A320;UA;19:57;2007.01.01;UA0471;ORD-DEN-SAN;Urbandale, IA;ACARS LOG 0000 20070101 to 2359 20070101
N14629;B735;CO;19:58;2007.01.01;CO1691;CLE-RSW;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
HB-IJR;A320;SWR;19:58;2007.01.01;LX0327;LHR-ZRH;Watford;ACARS LOG 0000 20070101 to 2359 20070101
G-EZMH;A319;BH;19:58;2007.01.01;U27241;LPL-BSL;Leeds;ACARS LOG 0000 20070101 to 2359 20070101
TF-FIX;B753;FI;19:58;2007.01.01;FI0454;KEF-LHR;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N473WN;B737;WN;19:58;2007.01.01;WN0770;BDL-BWI-PHX-SNA;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N757AT;B752;DL;19:58;2007.01.01;DL0426;MCO-ATL;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
ZK-OJE;A320;NZ;19:58;2007.01.01;NZ0000;;Sutherland NSW Australia;ACARS LOG 0000 20070101 to 2359 20070101
G-EUUG;A320;BA;19:58;2007.01.01;BA0442;LHR-AMS;Watford;ACARS LOG 0000 20070101 to 2359 20070101
D-ABAE;B738;AB;19:58;2007.01.01;AB572C;;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
N203JB;E190;B6;19:58;2007.01.01;B61051;JFK-PIT;Baltimore, MD, USA;ACARS LOG 0000 20070101 to 2359 20070101
HB-JZM;A319;DS;19:58;2007.01.01;DS09HA;;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N646AA;B752;AA;19:58;2007.01.01;AA1435;ORD-LAX;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N409AA;MD82;AA;19:58;2007.01.01;AA0356;DFW-IAD;Laurel, MD USA;ACARS LOG 0000 20070101 to 2359 20070101
G-EZEW;A319;EZY;19:58;2007.01.01;U205NG;EGKK-LEBL;Watford;ACARS LOG 0000 20070101 to 2359 20070101
OE-LBO;A320;OS;19:58;2007.01.01;OS457Y;LOWW-EGLL;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
D-AKNF;A319;GWI;19:58;2007.01.01;04U229;;Aalborg;ACARS LOG 0000 20070101 to 2359 20070101
SE-DIF;MD87;SK;19:58;2007.01.01;SK0714;EKCH-EFHK;Copenhagen, Denmark;ACARS LOG 0000 20070101 to 2359 20070101
D-AHLI;B735;HF;19:58;2007.01.01;X35143;LEJ-STR;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
EI-DEM;A320;EI;19:59;2007.01.01;EI0175;LHR-DUB;Watford;ACARS LOG 0000 20070101 to 2359 20070101
N23139;E145;BTA;19:59;2007.01.01;XE2129;PBC-IAH-GSO;Lawrenceville;ACARS LOG 0000 20070101 to 2359 20070101
N954AN;B738;AA;19:59;2007.01.01;AA1006;MIA-ATL;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
D-ACPT;CRJ7;LH;19:59;2007.01.01;LH08NK;;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
N912ME;B712;YX;19:59;2007.01.01;YX0204;BOS-MKE;S. New England - USA;ACARS LOG 0000 20070101 to 2359 20070101
ZK-NBU;B744;NZ;19:59;2007.01.01;XZNZ6;;Auckland New Zealand;ACARS LOG 0000 20070101 to 2359 20070101
G-ERJE;E145;TH;19:59;2007.01.01;BRT89PP;EGPH-EGGD;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
4X-ECC;B772;LY;19:59;2007.01.01;LY0028;ORD-EWR-TLV;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
ZK-NBU;B744;NZ;19:59;2007.01.01;TZNZ6;;Auckland New Zealand;ACARS LOG 0000 20070101 to 2359 20070101
A6-EMT;B773;EK;19:59;2007.01.01;EK0005;DXB-LHR;EDDH/HAM;ACARS LOG 0000 20070101 to 2359 20070101
EI-DAH;B738;FR;19:59;2007.01.01;FR9774;EGSS-EDSB;Watford;ACARS LOG 0000 20070101 to 2359 20070101
D-ACRA;CRJ2;EWG;19:59;2007.01.01;DL06VX;;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
C-FYNS;A319;AC;19:59;2007.01.01;AC0931;MIA-YUL;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
D-ACLW;CRJ1;LH;19:59;2007.01.01;LH08CJ;;EDDH/HAM;ACARS LOG 0000 20070101 to 2359 20070101
N964AS;MD83;AS;19:59;2007.01.01;AS0334;SEA-OAK;test, seattle, wa;ACARS LOG 0000 20070101 to 2359 20070101
ZK-NBU;B744;NZ;19:59;2007.01.01;EZ6NZ6;;Auckland New Zealand;ACARS LOG 0000 20070101 to 2359 20070101
EI-DHZ;B738;FR;20:00;2007.01.01;FR1155;LFBZ-EINN;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
N985DL;MD88;DL;20:00;2007.01.01;DL0359;ATL-MBJ;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N100GV;GLF5;---;20:00;2007.01.01;GS0001;;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N665UA;B763;UA;20:00;2007.01.01;UA0075;SFO-HNL;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
F-GSEU;A330;SEU;20:00;2007.01.01;2R0096;;Switzerland, Aarau;ACARS LOG 0000 20070101 to 2359 20070101
N936DL;MD88;DL;20:00;2007.01.01;DL1466;BDL-FLL-BDL;Baltimore, MD, USA;ACARS LOG 0000 20070101 to 2359 20070101
HB-JZG;A319;BH;20:00;2007.01.01;DS0904;HAM-GVA;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
G-VFIT;A346;VS;20:00;2007.01.01;VIR0025;;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N261PS;CRJ2;JIA;20:00;2007.01.01;US2553;;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N404US;B734;US;20:00;2007.01.01;US1034;BOS-PHL;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
C-GTSD;A310;TS;20:00;2007.01.01;TS0100;YVR-MUVR;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N132DN;B763;DL;20:00;2007.01.01;DL0432;ATL-FLL;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N3746H;B738;DL;20:00;2007.01.01;DL0956;ATL-BDL;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
D-ABAP;B738;AB;20:00;2007.01.01;AB8535;NUE-DME;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
N904DE;MD88;DL;20:00;2007.01.01;DL1690;ATL-IAD;Houston;ACARS LOG 0000 20070101 to 2359 20070101
N619AS;B737;AS;20:00;2007.01.01;AS0639;LAX-YVR;test, seattle, wa;ACARS LOG 0000 20070101 to 2359 20070101
G-EUUB;A320;BA;20:00;2007.01.01;BA0798;LHR-HEL;Watford;ACARS LOG 0000 20070101 to 2359 20070101
N504AU;B733;US;20:00;2007.01.01;US1407;IAD-CLT;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N676AN;B752;AA;20:00;2007.01.01;AA1080;MBPV-JFK;Laurel, MD USA;ACARS LOG 0000 20070101 to 2359 20070101
G-DOCU;B734;BA;20:01;2007.01.01;BA2927;EGPD-EGKK;Sheffield 53.31N,1.35W 755ft ASL UK;ACARS LOG 0000 20070101 to 2359 20070101
N830UA;A319;UA;20:01;2007.01.01;UA0448;SMF-DEN-OMA;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N972DL;MD88;DL;20:01;2007.01.01;DL0791;NAS-CVG;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N16501;E135;BTA;20:01;2007.01.01;XE2518;MDT-CLE-CMH;Laurel, MD USA;ACARS LOG 0000 20070101 to 2359 20070101
N953DL;MD88;DL;20:01;2007.01.01;DL1476;BOS-ATL;ny, ny;ACARS LOG 0000 20070101 to 2359 20070101
N7530;MD82;AA;20:01;2007.01.01;AA0578;ORD-RDU;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
OE-LBF;A321;OS;20:01;2007.01.01;OS858Z;XQRA-XCTV;acarsd.org home - Hungary appr. 150km from BUD;ACARS LOG 0000 20070101 to 2359 20070101
F-GRHU;A319;AF;20:01;2007.01.01;AF2340;CDG-AMS;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N589US;B733;US;20:01;2007.01.01;US0951;DCA-MCO;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
G-EZKF;B737;U2;20:01;2007.01.01;U203VK;EGGW-EDDB;Watford;ACARS LOG 0000 20070101 to 2359 20070101
OY-KCG;DH84;SK;20:01;2007.01.01;SK0195;ARN-KLR;Sweden,Sthlm near ESSA;ACARS LOG 0000 20070101 to 2359 20070101
N198JB;E190;JBU;20:01;2007.01.01;B61293;BOS-PIT;S. New England - USA;ACARS LOG 0000 20070101 to 2359 20070101
N583SW;E120;OO;20:01;2007.01.01;OO5741;SFO-MOD-SFO;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
G-BPEE;B752;BA;20:01;2007.01.01;BA0569;LIN-LHR;Great Bricett Suffolk;ACARS LOG 0000 20070101 to 2359 20070101
OE-LBF;A321;OS;20:01;2007.01.01;OS0858;TLV-VIE;acarsd.org home - Hungary appr. 150km from BUD;ACARS LOG 0000 20070101 to 2359 20070101
EI-DLT;B738;FR;20:02;2007.01.01;FR906Y;EICK-EGSS;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
N632AA;B752;AA;20:02;2007.01.01;AA2461;DFW-LAX;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N182UW;A321;US;20:02;2007.01.01;US1421;PHL-LAX;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
ZK-NBU;B744;NZ;20:02;2007.01.01;NZ6I;;Auckland New Zealand;ACARS LOG 0000 20070101 to 2359 20070101
N7531A;MD82;AA;20:02;2007.01.01;AA1909;FLL-ORD-AUS;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
D-ACPP;CRJ7;LH;20:02;2007.01.01;LH3058;MUC-GOT;Aalborg;ACARS LOG 0000 20070101 to 2359 20070101
N15555;E145;BTA;20:02;2007.01.01;XE3199;DCA-CLE;Alexandria, U.S.A.;ACARS LOG 0000 20070101 to 2359 20070101
N12195;E145;BTA;20:02;2007.01.01;XE3251;;Laurel, MD;ACARS LOG 0000 20070101 to 2359 20070101
D-AGEQ;B737;HLX;20:02;2007.01.01;HF4352;;Leusden, Netherlands;ACARS LOG 0000 20070101 to 2359 20070101
N646AA;B752;AA;20:02;2007.01.01;AA1763;MIA-ORD-SNA;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N18223;B738;CO;20:02;2007.01.01;CO1726;EWR-SAN;Laurel, MD USA;ACARS LOG 0000 20070101 to 2359 20070101
JA8921;B744;JL;20:02;2007.01.01;JL0012;RJAA-YVR-MEX;test, seattle, wa;ACARS LOG 0000 20070101 to 2359 20070101
N185UW;A321;US;20:03;2007.01.01;US0994;RSW-CLT;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
G-EUUA;A320;BA;20:03;2007.01.01;BA037T;;Sheffield 53.31N,1.35W 755ft ASL UK;ACARS LOG 0000 20070101 to 2359 20070101
D-AGEQ;B737;HLX;20:03;2007.01.01;X34352;HAJ-ORY;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N11656;B735;CO;20:03;2007.01.01;CO0084;ATL-EWR-TLV;Laurel, MD;ACARS LOG 0000 20070101 to 2359 20070101
C-FWAF;B737;WS;20:03;2007.01.01;WS0982;YYZ-RSW;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
D-AHFM;B738;HF;20:03;2007.01.01;HF0792;FUE-HAM;Near LPFR Portugal;ACARS LOG 0000 20070101 to 2359 20070101
N15572;E145;BTA;20:03;2007.01.01;XE2165;SLC-IAH-CAE;Lawrenceville;ACARS LOG 0000 20070101 to 2359 20070101
D-ACKC;CRJ900;LH;20:03;2007.01.01;LH3762;;Leusden, Netherlands;ACARS LOG 0000 20070101 to 2359 20070101
EC-IMB;A320;JK;20:03;2007.01.01;JK0115;MAD-FRA;Switzerland, Aarau;ACARS LOG 0000 20070101 to 2359 20070101
EI-CMS;B462;WX;20:03;2007.01.01;WX5010;LFPG-EIDW;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
N701MH;E135;MQ;20:03;2007.01.01;MQ4898;;Laurel, MD USA;ACARS LOG 0000 20070101 to 2359 20070101
G-BYAO;B752;TOM;20:03;2007.01.01;TOM862T;;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
N533US;B752;NW;20:03;2007.01.01;NW0243;FLL-DTW-LAX;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
G-TTOF;A320;GT;20:03;2007.01.01;GT01LP;GCLP-EGKK;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
G-EZIA;A319;EZY;20:03;2007.01.01;U23626;PRG-STN;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
VT-ESO;B744;AI;20:03;2007.01.01;AI111A;;Watford;ACARS LOG 0000 20070101 to 2359 20070101
EC-JEI;A319;IB;20:03;2007.01.01;IB3811;DME-MAD;acarsd.org home - Hungary appr. 150km from BUD;ACARS LOG 0000 20070101 to 2359 20070101
N510JB;A320;JBU;20:03;2007.01.01;B60744;SJU-MCO;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
G-MIDV;A320;BD;20:03;2007.01.01;BD08RE;EBBR-EGLL;Watford;ACARS LOG 0000 20070101 to 2359 20070101
LN-KKR;B733;DY;20:03;2007.01.01;DY1306;ENGM-EGSS;Sheffield 53.51N,1.60W 755ft ASL UK;ACARS LOG 0000 20070101 to 2359 20070101
N364G;GLF4;---;20:03;2007.01.01;XA0001;;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N374UA;B733;UA;20:04;2007.01.01;UA0439;DEN--BOI;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N121UW;A320;US;20:04;2007.01.01;US1749;PHL-RDU;Laurel, MD USA;ACARS LOG 0000 20070101 to 2359 20070101
N983QS;C750;---;20:04;2007.01.01;GS0001;;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N506QS;GLF5;---;20:04;2007.01.01;GS0001;;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N826MD;E170;RPA;20:04;2007.01.01;RW3412;MCI-PHL;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
D-AHFO;B738;HF;20:04;2007.01.01;HF3412;;Leusden, Netherlands;ACARS LOG 0000 20070101 to 2359 20070101
N22971;E145;BTA;20:04;2007.01.01;XE2793;IAH-CLT;Lawrenceville;ACARS LOG 0000 20070101 to 2359 20070101
OY-KBB;A321;SK;20:04;2007.01.01;SK1472;CPH-OSL;Copenhagen, Denmark;ACARS LOG 0000 20070101 to 2359 20070101
N623JB;A320;JBU;20:04;2007.01.01;B60861;JFK-TPA;S. New England - USA;ACARS LOG 0000 20070101 to 2359 20070101
N446AA;MD82;AA;20:04;2007.01.01;AA1652;ORD-RSW;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
D-AHLF;B735;HF;20:04;2007.01.01;X34412;HAJ-MAN;EDDH/HAM;ACARS LOG 0000 20070101 to 2359 20070101
D-AHFO;B738;HF;20:04;2007.01.01;X33412;CGN-MAN;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
G-EZID;A319;EZY;20:04;2007.01.01;U20613;LPL-BFS;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
G-EUXH;A321;BA;20:04;2007.01.01;BA0706;LHR-VIE;Watford;ACARS LOG 0000 20070101 to 2359 20070101
HA-LPH;A320;W6;20:04;2007.01.01;W6409W;;Leusden, Netherlands;ACARS LOG 0000 20070101 to 2359 20070101
G-BVKB;B735;WW;20:04;2007.01.01;WW1025;BHX-BFS;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
EI-CVC;A320;EI;20:04;2007.01.01;EI064S;;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
G-BZHA;B763;BA;20:05;2007.01.01;BA0000;;4 miles SW EGSH;ACARS LOG 0000 20070101 to 2359 20070101
N977AS;MD83;AS;20:05;2007.01.01;AS0401;BUR-SEA;test, seattle, wa;ACARS LOG 0000 20070101 to 2359 20070101
G-EUUI;A320;BA;20:05;2007.01.01;BA0482;LHR-BCN;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
JA8095;B744;NH;20:05;2007.01.01;NH0210;FRA-NRT;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
G-BUSE;A320;BA;20:05;2007.01.01;BA0945;DUS-LHR;Damwoude 30KM s/o EHLW;ACARS LOG 0000 20070101 to 2359 20070101
N3750D;B738;DL;20:05;2007.01.01;DL0442;LGA-CVG-SAN;S. New England - USA;ACARS LOG 0000 20070101 to 2359 20070101
EC-IMU;A320;DR;20:05;2007.01.01;TY9107;;Near LPFR Portugal;ACARS LOG 0000 20070101 to 2359 20070101
D-AISE;A321;LH;20:05;2007.01.01;LH02EL;;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N28518;E135;BTA;20:06;2007.01.01;XE3028;DAL-IAH-LFT;Houston,Texas USA;ACARS LOG 0000 20070101 to 2359 20070101
N593UA;B752;UA;20:06;2007.01.01;UA0619;DCA-ORD;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N972AS;MD83;AS;20:06;2007.01.01;AS0595;SAN-SEA;test, seattle, wa;ACARS LOG 0000 20070101 to 2359 20070101
N41140;B752;CO;20:06;2007.01.01;CO0754;EWR-PBI;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
PH-XRE;B737;HV;20:06;2007.01.01;HV6875;AMS-TXL;Damwoude 30KM s/o EHLW;ACARS LOG 0000 20070101 to 2359 20070101
D-ABGA;A319;AB;20:06;2007.01.01;AB7817;;EDDH/HAM;ACARS LOG 0000 20070101 to 2359 20070101
F-GRHU;A319;AF;20:06;2007.01.01;AF340B;;Great Bricett Suffolk;ACARS LOG 0000 20070101 to 2359 20070101
N832SC;CL604;---;20:06;2007.01.01;XA0001;;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
PH-BFU;B744;KL;20:06;2007.01.01;KL877N;;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
N14645;B735;CO;20:06;2007.01.01;CO0855;PBI-EWR;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N14230;B738;CO;20:06;2007.01.01;CO1006;IAH-TPA;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N643AA;B752;AA;20:06;2007.01.01;AA0816;PAP-MIA-BOS;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N137DL;B763;DL;20:06;2007.01.01;DL0693;LGA-ATL-MCO;Baltimore, MD, USA;ACARS LOG 0000 20070101 to 2359 20070101
LN-RPX;B736;SK;20:06;2007.01.01;CNO842;;Aalborg;ACARS LOG 0000 20070101 to 2359 20070101
9V-SRP;B772;SQ;20:06;2007.01.01;SQ0216;PER-SIN;Perth, Western Australia;ACARS LOG 0000 20070101 to 2359 20070101
N786AS;B734;AS;20:06;2007.01.01;AS0232;SFO-MZT;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
PH-BFU;B744;KL;20:06;2007.01.01;KLLM87;;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
D-ATUE;B738;HF;20:06;2007.01.01;X35158;;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
N613AS;B737;AS;20:06;2007.01.01;AS0480;SEA-LAX;test, seattle, wa;ACARS LOG 0000 20070101 to 2359 20070101
EI-DHW;B738;FR;20:06;2007.01.01;FR4198;EGSS-LIME;Watford;ACARS LOG 0000 20070101 to 2359 20070101
G-EZJI;B737;U2;20:06;2007.01.01;U22793;LTN-BRE;Watford;ACARS LOG 0000 20070101 to 2359 20070101
PH-XRX;B737;HV;20:06;2007.01.01;HV6094;FAO-RTM;Near LPFR Portugal;ACARS LOG 0000 20070101 to 2359 20070101
C-FTJQ;A320;AC;20:06;2007.01.01;AC0943;TXKF-YYZ;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
LN-TUM;B737;SK;20:06;2007.01.01;004604;;Aalborg;ACARS LOG 0000 20070101 to 2359 20070101
D-ABJC;B735;LH;20:06;2007.01.01;LH3797;ZRH-HAM;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
CS-TNK;A320;TP;20:06;2007.01.01;TP0332;OPO-LGW;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
VT-AIJ;B772;AI;20:06;2007.01.01;AI0191;AMD--BOM--CDG-EWR;Watford;ACARS LOG 0000 20070101 to 2359 20070101
G-TTOI;A320;GT;20:07;2007.01.01;BA013X;;Near LPFR Portugal;ACARS LOG 0000 20070101 to 2359 20070101
TC-JRB;A321;TK;20:07;2007.01.01;TK1981;IST-LHR;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
6Y-JMB;A320;JM;20:07;2007.01.01;JM0018;EWR-MBJ-KIN;S. New England - USA;ACARS LOG 0000 20070101 to 2359 20070101
B-18212;B744;CA;20:07;2007.01.01;CI0007;LAX-TPE;Osaka Japan.;ACARS LOG 0000 20070101 to 2359 20070101
N729AE;E135;MQ;20:07;2007.01.01;MQ4526;;Boston, MA;ACARS LOG 0000 20070101 to 2359 20070101
EC-HUK;A320;IB;20:07;2007.01.01;IB4195;EIDW-LEBL;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
N566JB;A320;JBU;20:07;2007.01.01;B60376;FLL-LGA;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
D-AIPD;A320;LH;20:07;2007.01.01;LH03AH;;Copenhagen, Denmark;ACARS LOG 0000 20070101 to 2359 20070101
OH-LZD;A321;AY;20:07;2007.01.01;AY0874;CDG-HEL;Damwoude 30KM s/o EHLW;ACARS LOG 0000 20070101 to 2359 20070101
G-EUUO;A320;BA;20:07;2007.01.01;BA0324;EGLL-LFPG;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
D-ATUH;B738;HF;20:07;2007.01.01;HF0554;LPA-STR;Near LPFR Portugal;ACARS LOG 0000 20070101 to 2359 20070101
N542JB;A320;JBU;20:07;2007.01.01;B60053;JFK-TPA;S. New England - USA;ACARS LOG 0000 20070101 to 2359 20070101
LN-TUM;B737;SK;20:07;2007.01.01;SK4604;EIDW-ENGM;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N326JD;GLF4;BIZ;20:07;2007.01.01;XA0001;;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
EI-DHG;B738;FR;20:07;2007.01.01;FR1706;EGNT-ENTO;Leeds;ACARS LOG 0000 20070101 to 2359 20070101
N721UW;A319;US;20:07;2007.01.01;US0889;CLT-PBI;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
C-FZUG;A319;AC;20:08;2007.01.01;AC0760;SFO-YUL;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
EI-CVA;A320;EI;20:08;2007.01.01;EI027V;EGBB-EIDW;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
D-ALTF;A320;LT;20:08;2007.01.01;LT0145;LIS-DUS;Portsmouth, UK;ACARS LOG 0000 20070101 to 2359 20070101
N525AU;B733;US;20:08;2007.01.01;US0997;MHT-CLT;Laurel, MD;ACARS LOG 0000 20070101 to 2359 20070101
B-16411;B744;BR;20:08;2007.01.01;BR0001;LAX-TPE;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N678AE;E145;MQ;20:08;2007.01.01;MQ4495;;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
