SBS-1 Log from KAMPENHOUT for 08/03/2015. Times are LOCAL.
Author skystef
Created by Active Display Lite v1.64.0.30

Code   CallSign Reg      ICAO FAlt  LAlt  Date/Time (dd/mm/yyyy)
89612E ETD15    A6-ETD   B77W 36000 36000 08/03/2015 06:21:07
3C4B24 DLH419   D-ABYD   B748 36000 25400 08/03/2015 06:21:34
8961B2 ETD11    A6-EHE   A346 38000 31775 08/03/2015 06:21:42
895057 RBA97    V8-DLB   B788 40000 37975 08/03/2015 06:21:58
7806B4 CHH491   B-6519   A332 4050  0     08/03/2015 06:23:18
44D074 TCW7882  OO-TCT   A320 150   29000 08/03/2015 06:23:47
76CD6B SIA336   9V-SKK   A388 31000 30200 08/03/2015 06:23:58
710059 SVA107   HZ-AK17  B77W 36000 33100 08/03/2015 06:24:00
484056 KLM736   PH-BFN   B744 17225 11500 08/03/2015 06:24:58
484AA1 TRA63Y   PH-HSW   B738 8925  34950 08/03/2015 06:27:16
40058C BAW72    G-ZZZC   B772 40000 31500 08/03/2015 06:28:12
3C0C9B TUI17J   D-ATUC   B738 22525 34250 08/03/2015 06:29:12
89402C GFA007   A9C-KD   A332 38000 35200 08/03/2015 06:29:50
780A2B CPA237   B-KPZ    B77W 36000 28550 08/03/2015 06:30:16
4840E0 KLM48    PH-BFV   B744 18950 16125 08/03/2015 06:30:49
440C87 AUA94    OE-LAT   B763 37000 37000 08/03/2015 06:32:13
89610D UAE11    A6-ECF   B77W 36000 36000 08/03/2015 06:32:31
800389 JAI120   VT-JEK   B77W 36000 32525 08/03/2015 06:32:48
3C49B2 BER626V  D-ABMR   B738 24050 36375 08/03/2015 06:33:15
44CE6B BEL845   OO-SSK   A319 75    21250 08/03/2015 06:33:33
44A838 JAF13A   OO-JAX   B738 9300  21250 08/03/2015 06:33:58
3C4B21 DLH403   D-ABYA   B748 36000 28800 08/03/2015 06:34:30
3950C1 AFR110D  F-GUGB   A318 23975 23975 08/03/2015 06:35:27
AE1465 RCH788   06-6167  C17  35000 35000 08/03/2015 06:36:15
400F0B -------- G-VRED   A346 33075 33025 08/03/2015 06:36:20
3C65A9 DLH463   D-AIMI   A388 41000 31500 08/03/2015 06:36:34
400804 BAW971   G-EUPD   A319 38000 30875 08/03/2015 06:36:45
471F4F WZZ781   HA-LWH   A320 36000 24125 08/03/2015 06:37:16
A754B5 UAL74    N57111   B752 36000 36000 08/03/2015 06:37:31
40058A BAW124   G-ZZZA   B772 40000 36500 08/03/2015 06:37:38
3C64EC DLH445   D-AIGL   A343 35025 23750 08/03/2015 06:38:03
4951D6 TAP797   CS-TNV   A320 34000 34775 08/03/2015 06:38:34
4CA647 RYR4522  EI-DYE   B738 10300 23150 08/03/2015 06:38:59
4844E6 KLM18    PH-AOH   A332 20025 16725 08/03/2015 06:39:01
8963CC ETD31    A6-ETS   B77W 30875 30275 08/03/2015 06:39:20
3C4971 BER388L  D-ABKQ   B738 34000 35000 08/03/2015 06:39:40
471F61 WZZ1221  HA-LWZ   A320 38000 26800 08/03/2015 06:40:21
4CA9C1 RYR93FQ  EI-EVA   B738 125   13150 08/03/2015 06:40:54
44A828 JAF8MP   OO-JAH   B738 13025 13825 08/03/2015 06:40:56
800720 JAI227   VT-JWT   A333 23000 0     08/03/2015 06:41:06
44CE70 BEL6BC   OO-SSP   A319 475   16625 08/03/2015 06:42:11
4841B9 KLM34Z   PH-KZP   F70  18000 17750 08/03/2015 06:42:19
4AC8D3 BLX851P  SE-RFS   B763 39025 39025 08/03/2015 06:42:51
484C51 KLM1866  PH-EZM   E190 32000 8425  08/03/2015 06:42:56
4CA225 RYR753   EI-DCK   B738 30000 25525 08/03/2015 06:43:32
400E51 BAW236   G-MEDM   A321 37975 32525 08/03/2015 06:43:38
4CA25A RYR8608  EI-DHE   B738 13600 21650 08/03/2015 06:43:42
4840DF KLM24    PH-BFU   B744 18925 16325 08/03/2015 06:43:46
4492E9 BEL6DR   OO-DWI   RJ1H 300   18475 08/03/2015 06:44:13
